kanji,strokes,grade,freq,jlpt,meanings,readings_on,readings_kun
安,6,3,144,4,"Relax, Cheap, Low, Quiet, Rested, Contented, Peaceful",あん,"やす.い, やす.まる, やす, やす.らか"
州,6,3,386,2,"State, Province","しゅう, す",す
曲,6,3,810,3,"Bend, Music, Melody, Composition, Pleasure, Injustice, Fault, Curve, Crooked, Perverse, Lean",きょく,"ま.がる, ま.げる, くま"
有,6,3,282,4,"Possess, Have, Exist, Happen, Occur, Approx","ゆう, う",あ.る
次,6,3,222,3,"Next, Order, Sequence","じ, し","つ.ぐ, つぎ"
死,6,3,229,4,"Death, Die",し,"し.ぬ, し.に-"
羊,6,3,1852,1,Sheep,よう,ひつじ
血,6,3,832,2,Blood,けつ,ち
京,8,2,74,4,"Capital, 10**16","きょう, けい, きん",みやこ
国,8,2,3,5,Country,こく,くに
夜,8,2,487,4,"Night, Evening",や,"よ, よる"
妹,8,2,1446,4,Younger Sister,まい,いもうと
姉,8,2,1473,4,Elder Sister,し,"あね, はは"
店,8,2,378,4,"Store, Shop",てん,"みせ, たな"
明,8,2,67,4,"Bright, Light","めい, みょう, みん","あ.かり, あか.るい, あか.るむ, あか.らむ, あき.らか, あ.ける, -あ.け, あ.く, あ.くる, あ.かす"
東,8,2,37,5,East,とう,ひがし
歩,8,2,554,4,"Walk, Counter For Steps","ほ, ぶ, ふ","ある.く, あゆ.む"
画,8,2,199,4,"Brush-stroke, Picture","が, かく, え, かい","えが.く, かく.する, かぎ.る, はかりごと, はか.る"
直,8,2,246,3,"Straightaway, Honesty, Frankness, Fix, Repair","ちょく, じき, じか","ただ.ちに, なお.す, -なお.す, なお.る, なお.き, す.ぐ"
知,8,2,205,4,"Know, Wisdom",ち,"し.る, し.らせる"
長,8,2,12,5,"Long, Leader, Superior, Senior",ちょう,"なが.い, おさ"
前,9,2,27,5,"In Front, Before",ぜん,"まえ, -まえ"
南,9,2,341,5,South,"なん, な",みなみ
室,9,2,550,4,"Room, Apartment, Chamber, Greenhouse, Cellar",しつ,むろ
後,9,2,26,5,"Behind, Back, Later","ご, こう","のち, うし.ろ, うしろ, あと, おく.れる"
思,9,2,132,4,Think,し,"おも.う, おもえら.く, おぼ.す"
星,9,2,844,2,"Star, Spot, Dot, Mark","せい, しょう","ほし, -ぼし"
活,9,2,171,3,"Lively, Resuscitation, Being Helped, Living",かつ,"い.きる, い.かす, い.ける"
海,9,2,200,4,"Sea, Ocean",かい,うみ
点,9,2,165,3,"Spot, Point, Mark, Speck, Decimal Point",てん,"つ.ける, つ.く, た.てる, さ.す, とぼ.す, とも.す, ぼち"
科,9,2,531,3,"Department, Course, Section",か,
茶,9,2,1116,4,Tea,"ちゃ, さ",
食,9,2,328,5,"Eat, Food","しょく, じき","く.う, く.らう, た.べる, は.む"
首,9,2,98,3,"Neck, Counter For Songs And Poems",しゅ,くび
欠,4,4,860,3,"Lack, Gap, Fail, Yawning Radical (no. 76)","けつ, けん","か.ける, か.く"
氏,4,4,84,1,"Family Name, Surname, Clan",し,"うじ, -うじ"
由,5,3,325,3,"Wherefore, A Reason","ゆ, ゆう, ゆい","よし, よ.る"
札,5,4,921,2,"Tag, Paper Money, Counter For Bonds, Placard, Bid",さつ,ふだ
民,5,4,28,3,"People, Nation, Subjects",みん,たみ
辺,5,4,428,2,"Environs, Boundary, Border, Vicinity",へん,"あた.り, ほと.り, -べ"
付,5,4,322,3,"Adhere, Attach, Refer To, Append",ふ,"つ.ける, -つ.ける, -づ.ける, つ.け, つ.け-, -つ.け, -づ.け, -づけ, つ.く, -づ.く, つ.き, -つ.き, -つき, -づ.き, -づき"
以,5,4,126,4,"By Means Of, Because, In View Of, Compared With",い,もっ.て
失,5,4,447,3,"Lose, Error, Fault, Disadvantage, Loss",しつ,"うしな.う, う.せる"
必,5,4,265,3,"Invariably, Certain, Inevitable",ひつ,かなら.ず
未,5,4,650,3,"Un-, Not Yet, Hitherto, Still, Even Now, Sign Of The Ram, 1-3pm, Eighth Sign Of Chinese Zodiac","み, び","いま.だ, ま.だ, ひつじ"
末,5,4,456,3,"End, Close, Tip, Powder, Posterity","まつ, ばつ",すえ
校,10,1,294,5,"Exam, School, Printing, Proof, Correction","こう, きょう",
夏,10,2,659,4,Summer,"か, が, げ",なつ
家,10,2,133,4,"House, Home, Family, Professional, Expert, Performer","か, け","いえ, や, うち"
弱,10,2,958,2,"Weak, Frail",じゃく,"よわ.い, よわ.る, よわ.まる, よわ.める"
