kanji,strokes,grade,freq,jlpt_new
責,11,5,598,3
省,9,4,548,2
増,14,5,231,3
税,12,5,289,2
解,13,5,176,3
際,14,5,183,3
認,14,6,198,3
企,6,8,278,1
義,13,5,415,1
罰,14,8,1220,1
誕,15,6,1024,1
脱,11,8,782,1
過,12,5,285,3
坊,7,8,1832,0
寝,13,8,1034,3
宮,10,3,367,1
各,6,4,243,2
案,10,4,206,1
置,13,4,277,3
費,12,4,321,3
価,8,5,250,1
勢,13,5,260,2
営,12,5,303,2
示,5,5,237,3
統,12,5,125,1
領,14,5,138,2
策,12,6,209,1
藤,18,8,291,1
副,11,4,360,2
観,18,4,476,3
値,10,6,518,3
吸,6,6,1054,3
域,11,6,396,2
姿,9,6,441,1
応,7,5,266,1
提,12,5,254,1
援,12,8,312,1
状,7,5,298,3
態,14,5,353,1
賀,12,5,1056,1
収,4,6,337,3
停,11,4,733,2
革,9,6,249,2
職,18,5,305,3
鬼,10,8,1557,1
規,11,5,349,3
護,20,5,351,1
割,12,6,318,3
裁,12,6,297,1
崎,11,8,533,1
演,14,5,267,3
律,9,6,992,2
師,10,5,563,3
看,9,6,1060,1
準,13,5,425,2
則,9,5,753,2
備,12,5,356,3
導,15,5,354,2
幹,13,5,364,1
張,11,5,403,1
優,17,6,334,3
宅,6,6,357,3
沢,7,8,296,1
贅,18,13,2386,0
施,9,8,323,1
現,11,5,85,3
乳,8,6,1289,2
呼,8,6,498,3
城,9,6,795,2
俳,10,6,1137,1
秀,7,8,848,1
担,8,6,422,2
額,18,5,407,2
製,14,5,488,1
違,13,8,344,3
輸,16,5,371,2
燃,16,5,948,2
祝,9,4,1184,2
届,8,6,939,2
狭,9,8,1346,1
肩,8,8,1215,2
腕,12,8,1163,2
腰,13,8,1306,2
触,13,8,904,2
載,13,8,825,1
層,14,6,801,2
型,9,4,482,2
庁,5,6,793,2
視,11,6,362,1
差,10,4,449,3
管,14,4,517,2
象,12,4,394,2
量,12,4,469,2
境,14,5,346,2
環,17,8,409,1
武,8,5,387,2
質,15,5,389,4
述,8,5,379,2
供,8,6,313,3
展,10,6,352,1
販,11,8,627,2
株,10,6,432,1
限,9,5,405,3
与,3,8,308,3
含,7,8,466,2
影,15,8,464,1
況,8,8,490,2
渡,12,8,446,3
響,20,8,502,1
票,11,4,489,1
景,12,4,419,3
抜,7,8,726,3
訴,12,8,427,1
訟,11,8,1061,1
逮,11,8,766,1
補,12,6,332,2
候,10,4,510,3
構,14,5,316,3
模,14,6,668,1
捕,10,8,604,3
鮮,17,8,355,1
効,8,5,538,2
属,12,5,912,1
慣,14,5,1177,3
豊,13,5,762,2
満,12,4,515,3
肥,8,5,1469,1
巻,9,6,944,2
捜,10,8,592,2
絞,12,8,1288,1
輩,15,8,1365,1
隠,14,8,1089,1
掛,11,8,1027,3
替,12,8,979,2
居,8,5,836,3
造,10,5,429,2
授,11,5,535,1
印,6,4,682,2
創,12,6,741,1
復,12,5,438,2
往,8,5,1421,1
較,13,8,1172,1
筆,12,3,1132,2
鉛,13,8,1710,1
貯,12,4,1100,2
故,9,5,612,1
障,14,6,742,1
従,10,6,601,1
我,7,6,829,1
激,16,6,560,1
刺,8,8,1031,2
励,7,8,1254,1
討,10,6,528,1
郵,11,6,917,2
針,10,6,505,2
徴,14,8,850,1
怪,8,8,1634,1
獣,16,8,1714,1
突,8,8,521,3
菓,11,8,1719,2
河,8,5,663,2
振,10,8,614,1
汗,6,8,1502,2
豚,11,8,1864,1
再,6,5,275,2
接,11,5,523,2
独,9,5,365,1
占,5,8,694,2
招,8,5,840,3
段,9,6,479,3
胃,9,4,1647,2
腹,13,6,1286,3
痛,12,6,903,3
退,9,5,424,3
屈,8,8,1434,1
悩,10,8,1084,2
暇,13,8,1386,1
織,18,5,608,1
